relative_error,estimated_cardinality,cardinality
2.701778800684451e-10,1,1
5.403559821814952e-10,2,2
8.105338622499403e-10,3,3
1.0807119643629903e-9,4,4
1.3508898888403565e-9,5,5
1.6210680205593535e-9,6,6
1.891245763171615e-9,7,7
2.1614239287259807e-9,8,8
2.431601784122803e-9,9,9
2.7017799553163962e-9,10,10
2.971957710232428e-9,11,11
3.242135893088971e-9,12,12
3.512313721916354e-9,13,13
3.782491906991124e-9,14,14
4.052669784944859e-9,15,15
4.322847857451961e-9,16,16
4.593025776704749e-9,17,17
4.863203765618589e-9,18,18
5.133381813194366e-9,19,19
5.403559555361426e-9,20,20
5.6737377124569496e-9,21,21
5.943915581951842e-9,22,22
6.214093664756666e-9,23,23
6.48427149011847e-9,24,24
6.754449657364603e-9,25,25
7.024627580475541e-9,26,26
7.2948056813233795e-9,27,27
7.564983560216985e-9,28,28
7.835161607639245e-9,29,29
8.105339569889719e-9,30,30
8.375517569814495e-9,31,31
8.645695492859318e-9,32,32
8.915873668987237e-9,33,33
9.186051553409497e-9,34,34
9.456229577153863e-9,35,35
9.726407531237179e-9,36,36
9.996585613346207e-9,37,37
1.0266763439403803e-8,38,38
1.0536941393487119e-8,39,39
1.0807119465994222e-8,40,40
1.1077297301653743e-8,41,41
1.1347475424913899e-8,42,42
1.1617653319982035e-8,43,43
1.1887831325390669e-8,44,44
1.2158009275885384e-8,45,45
1.2428187329513332e-8,46,46
1.2698365177332928e-8,47,47
1.2968543276296409e-8,48,48
1.3238721176001455e-8,49,49
1.3508899314729206e-8,50,50
1.3779077260453195e-8,51,51
1.4049255297593913e-8,52,52
1.4319433152847504e-8,53,53
1.4589611362646759e-8,54,54
1.4859789132515286e-8,55,55
1.51299672473166e-8,56,56
1.540014519026986e-8,57,57
1.5670323092771123e-8,58,58
1.594050119773922e-8,59,59
1.6210679021355645e-8,60,60
1.648085715986945e-8,61,61
1.6751035025025327e-8,62,62
1.702121308097857e-8,63,63
1.7291390985718635e-8,64,64
1.756156918348167e-8,65,65
1.7831746907342513e-8,66,66
1.81019250269299e-8,67,67
1.8372102897835836e-8,68,68
1.864228114873581e-8,69,69
1.8912458951295514e-8,70,70
1.9182637125070444e-8,71,71
1.9452814865101373e-8,72,72
1.9722992967890356e-8,73,73
1.9993170842615257e-8,74,74
2.026334906683284e-8,75,75
2.0533526878807606e-8,76,76
2.0803704848270628e-8,77,77
2.1073882786974238e-8,78,78
2.1344060696086483e-8,79,79
2.1614238931988443e-8,80,80
2.1884416780806164e-8,81,81
2.2154594776610597e-8,82,82
2.2424772742873842e-8,83,83
2.2694950849827798e-8,84,84
2.2965128758133847e-8,85,85
2.3235306805206564e-8,86,86
2.3505484659574577e-8,87,87
2.3775662812268328e-8,88,88
2.4045840614541777e-8,89,89
2.431601870966915e-8,90,90
2.4586196619506215e-8,91,91
2.4856374659026664e-8,92,92
2.5126552671242267e-8,93,93
2.539673050584516e-8,94,94
2.5666908617208005e-8,95,95
2.5937086552592817e-8,96,96
2.6207264610449557e-8,97,97
2.6477442497011628e-8,98,98
2.6747620504557757e-8,99,99
2.7017798487349865e-8,100,100
2.728797658682476e-8,101,101
2.7558154381584277e-8,102,102
2.7828332570350945e-8,103,103
2.8098510458544997e-8,104,104
2.836868846077864e-8,105,105
2.863886643975968e-8,106,106
