"approach","color"
"HashSet","red"
"Beta6 + WyHash","tab:green"
"Beta6 + Xxhasher","tab:purple"
"Beta8 + WyHash","tab:green"
"Beta8 + Xxhasher","tab:purple"
"HLL8 + WyHash","tab:blue"
"HLL8 + Xxhasher","tab:pink"
"HLL6 + WyHash","tab:blue"
"HLL6 + Xxhasher","tab:pink"
"HLL5 + WyHash","tab:blue"
"HLL5 + Xxhasher","tab:pink"
"HLL4 + WyHash","tab:blue"
"HLL4 + Xxhasher","tab:pink"
"MLEBeta + WyHash","tab:green"
"MLEBeta + Xxhasher","tab:purple"
"MLE++ + WyHash","tab:red"
"MLE++ + Xxhasher","tab:brown"
"Hybrid++ + WyHash","#FFA500"
"Hybrid++ + Xxhasher","#A52A2A"
"HybridBeta + WyHash","#4B0082"
"HybridBeta + Xxhasher","#800080"
"HybridMLE++ + WyHash","#3F51B5"
"HybridMLE++ + Xxhasher","#FF5722"
"HybridMLEBeta + WyHash","#3F51B5"
"HybridMLEBeta + Xxhasher","#2F5722"
"Tabac's HLL","tab:red"
"Tabac's HLL++","tab:brown"
"Streaming Algorithms","tab:orange"
"Theoretical (6 bits)","green"
"Cardinality Estimator","tab:cyan"
"Rust-HLL","tab:olive"
