precision,bit_size,starting_hash_size,downgraded_hash_size,hasher,composite_hash,average_number_of_duplicates,absolute_average_number_of_duplicates,total_number_of_hashes
8,4,32,24,XxHash64,CurrentHash,4.242424242424242e-6,0.00014,33
9,4,32,24,XxHash64,SwitchHash,4.3076923076923076e-6,0.00028,65
9,4,32,24,WyHash,SwitchHash,4.3076923076923076e-6,0.00028,65
6,6,32,24,AHasher,CurrentHash,4.615384615384615e-6,0.00006,13
5,5,32,24,WyHash,CurrentHash,5.714285714285714e-6,0.00004,7
5,6,32,24,WyHash,CurrentHash,5.714285714285714e-6,0.00004,7
7,5,32,24,XxHash64,CurrentHash,5.714285714285714e-6,0.00012,21
8,6,32,24,AHasher,SwitchHash,5.714285714285714e-6,0.00028,49
9,6,32,24,WyHash,SwitchHash,5.7731958762886594e-6,0.00056,97
7,4,32,24,WyHash,CurrentHash,5.882352941176471e-6,0.0001,17
9,5,32,24,WyHash,SwitchHash,5.925925925925926e-6,0.00048,81
9,4,32,24,AHasher,SwitchHash,6.7692307692307695e-6,0.00044,65
7,5,32,24,WyHash,CurrentHash,7.619047619047619e-6,0.00016,21
6,6,32,24,WyHash,CurrentHash,7.692307692307692e-6,0.0001,13
9,4,32,24,XxHash64,CurrentHash,7.692307692307692e-6,0.0005,65
8,4,32,24,WyHash,CurrentHash,7.878787878787878e-6,0.00026,33
9,5,32,24,XxHash64,SwitchHash,8.148148148148148e-6,0.00066,81
9,5,32,24,AHasher,SwitchHash,8.148148148148148e-6,0.00066,81
9,6,32,24,XxHash64,SwitchHash,8.247422680412371e-6,0.0008,97
9,6,32,24,AHasher,SwitchHash,8.45360824742268e-6,0.00082,97
7,6,32,24,AHasher,CurrentHash,8.8e-6,0.00022,25
10,4,32,24,WyHash,SwitchHash,9.922480620155039e-6,0.00128,129
9,4,32,24,AHasher,CurrentHash,0.000011076923076923077,0.00072,65
8,5,32,24,AHasher,CurrentHash,0.000011219512195121952,0.00046,41
9,4,32,24,WyHash,CurrentHash,0.000011692307692307693,0.00076,65
10,4,32,24,AHasher,SwitchHash,0.000011782945736434107,0.00152,129
10,5,32,24,WyHash,SwitchHash,0.000012298136645962732,0.00198,161
7,6,32,24,XxHash64,CurrentHash,0.000012800000000000003,0.00032,25
8,5,32,24,XxHash64,CurrentHash,0.000013170731707317074,0.00054,41
10,4,32,24,XxHash64,SwitchHash,0.000013178294573643412,0.0017,129
4,4,32,16,WyHash,SwitchHash,0.000013333333333333333,0.00004,3
10,5,32,24,XxHash64,SwitchHash,0.000014906832298136644,0.0024,161
10,6,32,24,WyHash,SwitchHash,0.000015025906735751296,0.0029,193
