precision,bit_size,hash_size,uniform_rice_coefficient,geometric_rice_coefficient,rate,mean_compressed_size,number_of_hashes,number_of_hashes_with_code,extra_hashes
6,4,10,0,0,0.2712,4.2822,16,59,43
6,4,11,255,255,inf,2836121074962.6938,16,0,0
6,4,12,255,255,inf,3168360147551.3359,16,0,0
6,4,13,255,255,inf,3499499563615.9214,16,0,0
6,4,14,255,255,inf,3829879343467.6372,16,0,0
6,4,15,255,255,inf,4152703295781.9663,16,0,0
6,4,16,255,255,inf,4475685598003.6504,16,0,0
6,5,11,0,0,0.2564,4.0718,20,78,58
6,5,12,7,0,0.6667,10.6597,20,30,10
6,5,13,255,255,inf,2723460482140.4761,20,0,0
6,5,14,255,255,inf,2982258343707.2622,20,0,0
6,5,15,255,255,inf,3239462044401.5557,20,0,0
6,5,16,255,255,inf,3497013094542.0952,20,0,0
6,6,12,0,0,0.2500,3.9692,24,96,72
6,6,13,7,0,0.7273,11.4639,24,33,9
6,6,14,9,0,0.8000,12.6570,24,30,6
6,6,15,255,255,inf,2646617509856.5596,24,0,0
6,6,16,255,255,inf,2858085063212.7188,24,0,0
7,4,11,0,0,0.2667,4.2460,32,120,88
7,4,12,6,0,0.6154,9.8245,32,52,20
7,4,13,7,0,0.6957,10.9647,32,46,14
7,4,14,8,0,0.7619,12.1028,32,42,10
7,4,15,9,0,0.8421,13.2388,32,38,6
7,4,16,10,0,0.9143,14.3737,32,35,3
7,5,12,0,0,0.2532,4.0353,40,158,118
7,5,13,7,0,0.6780,10.6774,40,59,19
7,5,14,8,0,0.7407,11.7865,40,54,14
7,5,15,9,0,0.8163,12.8930,40,49,9
7,5,16,10,0,0.8889,13.9987,40,45,5
7,6,13,0,0,0.2462,3.9306,48,195,147
7,6,14,7,0,0.7273,11.4818,48,66,18
7,6,15,9,0,0.8000,12.6706,48,60,12
7,6,16,10,0,0.8727,13.7585,48,55,7
8,4,12,0,0,0.1736,4.2177,42,242,200
8,4,13,6,0,0.4038,9.8220,42,104,62
8,4,14,7,0,0.4516,10.9648,42,93,51
8,4,15,8,0,0.5000,12.1057,42,84,42
8,4,16,9,0,0.5455,13.2453,42,77,35
8,4,17,10,0,0.5915,14.3841,42,71,29
8,4,18,11,0,0.6462,15.5221,42,65,23
8,4,19,12,0,0.6885,16.6587,42,61,19
8,4,20,14,0,0.7368,17.7314,42,57,15
8,4,21,15,0,0.7778,18.7944,42,54,12
8,4,22,16,0,0.8235,19.8576,42,51,9
8,4,23,17,0,0.8750,20.9206,42,48,6
8,4,24,18,0,0.9130,21.9841,42,46,4
8,5,13,0,0,0.1661,4.0088,53,319,266
8,5,14,7,0,0.4454,10.6721,53,119,66
8,5,15,8,0,0.4907,11.7815,53,108,55
8,5,16,9,0,0.5354,12.8895,53,99,46
8,5,17,10,0,0.5824,13.9971,53,91,38
8,5,18,11,0,0.6310,15.1045,53,84,31
8,5,19,12,0,0.6795,16.2120,53,78,25
8,5,20,13,0,0.7260,17.3194,53,73,20
8,5,21,14,0,0.7681,18.4270,53,69,16
8,5,22,15,0,0.8154,19.5342,53,65,12
8,5,23,16,0,0.8548,20.6406,53,62,9
8,5,24,18,0,0.9138,21.7086,53,58,5
8,6,14,0,0,0.1633,3.9091,64,392,328
8,6,15,7,0,0.4812,11.4814,64,133,69
8,6,16,9,0,0.5289,12.6677,64,121,57
8,6,17,10,0,0.5766,13.7557,64,111,47
8,6,18,11,0,0.6214,14.8431,64,103,39
8,6,19,12,0,0.6667,15.9305,64,96,32
8,6,20,13,0,0.7111,17.0184,64,90,26
8,6,21,14,0,0.7619,18.1062,64,84,20
8,6,22,15,0,0.8000,19.1940,64,80,16
8,6,23,16,0,0.8533,20.2822,64,75,11
8,6,24,17,0,0.9014,21.3703,64,71,7
9,4,13,0,0,0.1745,4.1988,85,487,402
9,4,14,6,0,0.4087,9.8136,85,208,123
9,4,15,7,0,0.4570,10.9570,85,186,101
