struct_name,precision,bits,memory_requirements,population_time,cardinality_time,cardinality,cardinality_squared_error
HyperLogLog,4,4,12,15624958,277,352845,1175960229889
HyperLogLog,4,5,16,16434653,330,1627541,36206097841
HyperLogLog,4,6,20,15599260,285,1627541,36206097841
HyperLogLog,5,1,8,14024065,429,36,2065618575076
HyperLogLog,5,2,12,14929686,315,178,2065210423056
HyperLogLog,5,3,20,16359672,347,2854,2057526310464
HyperLogLog,5,4,20,17214055,295,730857,499008024025
HyperLogLog,5,5,28,21906445,1080,1716509,77978887009
HyperLogLog,5,6,32,22499375,362,1715525,77430297169
HyperLogLog,6,1,12,18903483,525,74,2065509347344
HyperLogLog,6,2,20,18499788,429,363,2064678736201
HyperLogLog,6,3,32,19298226,439,5808,2049060554116
HyperLogLog,6,4,36,17810966,324,1106515,109393578009
HyperLogLog,6,5,48,19188354,354,1400221,1372035681
HyperLogLog,6,6,56,19098225,644,1400221,1372035681
HyperLogLog,7,1,20,17334333,2184,149,2065293774769
HyperLogLog,7,2,36,17721016,628,732,2063618440900
HyperLogLog,7,3,56,19822130,758,11718,2032175695936
HyperLogLog,7,4,68,18625618,417,1328747,11775505225
HyperLogLog,7,5,92,20040240,424,1425965,127622209
HyperLogLog,7,6,108,20010862,378,1425965,127622209
HyperLogLog,8,1,36,17281012,765,300,2064859789444
HyperLogLog,8,2,68,18315102,507,1471,2061495795681
HyperLogLog,8,3,108,21366338,1342,23536,1998621203076
HyperLogLog,8,4,132,20549784,554,1390873,2151939321
HyperLogLog,8,5,176,20189090,858,1422550,216442944
HyperLogLog,8,6,212,18834303,463,1422540,216737284
HyperLogLog,9,1,68,15721067,715,601,2063994828921
HyperLogLog,9,2,132,14862446,572,2948,2057256650596
HyperLogLog,9,3,212,16022465,609,47171,1932352988281
HyperLogLog,9,4,260,15096293,532,1390976,2142393796
HyperLogLog,9,5,348,16354210,557,1399630,1416167424
HyperLogLog,9,6,416,16080376,582,1399630,1416167424
HyperLogLog,10,1,132,14551191,1100,1204,2062262579364
HyperLogLog,10,2,260,15293064,773,5902,2048791449600
HyperLogLog,10,3,416,16123402,772,94442,1803165552400
HyperLogLog,10,4,516,16027442,818,1359411,6060778201
HyperLogLog,10,5,688,16646179,710,1361584,5727159684
HyperLogLog,10,6,824,16140644,767,1361584,5727159684
HyperLogLog,11,1,260,13883169,1440,2408,2058806001316
HyperLogLog,11,2,516,15034161,1438,11811,2031910553401
HyperLogLog,11,3,824,16090005,1194,188984,1558197965284
HyperLogLog,11,4,1028,15141645,1126,1379787,3303375625
HyperLogLog,11,5,1372,16342413,1200,1380269,3248202049
HyperLogLog,11,6,1644,16150471,1067,1380269,3248202049
HyperLogLog,12,1,516,14347427,2561,4815,2051904407809
HyperLogLog,12,2,1028,15032980,2008,23629,1998358258689
HyperLogLog,12,3,1644,16249413,2081,376964,1124231848804
HyperLogLog,12,4,2052,15285797,2474,1421910,235683904
HyperLogLog,12,5,2736,16220856,1977,1422071,230766481
HyperLogLog,12,6,3284,15992882,2089,1422071,230766481
HyperLogLog,13,1,1028,14201087,4643,9636,2038115995876
HyperLogLog,13,2,2052,14968939,3928,47264,1932094440004
HyperLogLog,13,3,3284,15836334,4099,704789,536516695729
HyperLogLog,13,4,4100,15380322,4052,1418126,366186496
HyperLogLog,13,5,5468,16131070,3946,1418165,364695409
HyperLogLog,13,6,6560,16273664,4191,1418165,364695409
HyperLogLog,14,1,2052,14112313,8863,19269,2010704148049
HyperLogLog,14,2,4100,15087403,7570,94536,1802913111076
HyperLogLog,14,3,6560,16112126,7778,1085408,123801237316
HyperLogLog,14,4,8196,15309965,7939,1444518,52649536
HyperLogLog,14,5,10928,15963208,7500,1444529,52809289
HyperLogLog,14,6,13112,15909452,7680,1444529,52809289
HyperLogLog,15,1,4100,13920110,17724,38541,1956420435841
HyperLogLog,15,2,8196,14852446,14747,189072,1557978276100
HyperLogLog,15,3,13112,16080024,14655,1309893,16222862161
HyperLogLog,15,4,16388,15581726,15740,1431310,35426304
HyperLogLog,15,5,21852,16950866,14738,1431313,35390601
HyperLogLog,15,6,26220,17083077,14842,1431313,35390601
HyperLogLog,16,1,8196,15109397,49641,77087,1850076030625
HyperLogLog,16,2,16388,16250490,29613,376582,1125042062400
HyperLogLog,16,3,26220,18191489,29978,1401100,1307690244
HyperLogLog,16,4,32772,16951081,30428,1435505,3087049
HyperLogLog,16,5,43696,18339780,56296,1435506,3083536
HyperLogLog,16,6,52436,19780122,35095,1435506,3083536
HashSet,0,0,18874416,110646892,73,1437262,0
HyperLogLog,4,1,8,121776112,609,18,35306021120769
HyperLogLog,4,2,8,94269327,274,86,35305213028761
HyperLogLog,4,3,12,91505535,298,1378,35289861037729
HyperLogLog,4,4,12,86461765,326,352845,31237591683600
HyperLogLog,4,5,16,93974166,303,4379565,2440906275600
HyperLogLog,4,6,20,92239818,287,4406269,2358177924496
HyperLogLog,5,1,8,83514776,758,36,35305807213161
HyperLogLog,5,2,12,87989917,348,178,35304119742529
HyperLogLog,5,3,20,111673962,423,2854,35272326780601
HyperLogLog,5,4,20,109589830,348,730857,27155021258304
HyperLogLog,5,5,28,119631137,492,5564298,142587046449
HyperLogLog,5,6,32,103004704,343,5564298,142587046449
HyperLogLog,6,1,12,84749288,449,74,35305355632561
HyperLogLog,6,2,20,96843239,446,363,35301921337764
HyperLogLog,6,3,32,112532781,453,5808,35237247593409
HyperLogLog,6,4,36,126020444,501,1486880,19847247750625
HyperLogLog,6,5,48,126966105,382,5794732,21659891929
HyperLogLog,6,6,56,113293460,648,5794732,21659891929
HyperLogLog,7,1,20,82140506,585,149,35304464363536
HyperLogLog,7,2,36,88138072,833,732,35297536615929
HyperLogLog,7,3,56,112351296,352,11718,35167117854969
HyperLogLog,7,4,68,108244984,387,2782666,9980791059121
HyperLogLog,7,5,92,99882064,379,5847373,8936299024
HyperLogLog,7,6,108,93637917,338,5847373,8936299024
HyperLogLog,8,1,36,87174440,702,300,35302669976025
HyperLogLog,8,2,68,91405457,725,1471,35288756108356
HyperLogLog,8,3,108,94757251,483,23536,35027091620161
HyperLogLog,8,4,132,83554865,388,4497022,2087686883689
HyperLogLog,8,5,176,87883820,393,6121326,32191895241
HyperLogLog,8,6,212,87425952,404,6121326,32191895241
HyperLogLog,9,1,68,78837548,1056,601,35299093220416
HyperLogLog,9,2,132,102239722,719,2948,35271210247849
HyperLogLog,9,3,212,98168092,590,47171,34747888930756
HyperLogLog,9,4,260,89365878,616,5555157,149574015504
HyperLogLog,9,5,348,122073635,1032,6191015,62055792100
HyperLogLog,9,6,416,108163300,641,6190967,62031879844
HyperLogLog,10,1,132,82934469,1346,1204,35291928371401
HyperLogLog,10,2,260,86542945,745,5902,35236131616009
HyperLogLog,10,3,416,103466434,927,94442,34192823536369
HyperLogLog,10,4,516,91141887,766,5709777,53883408384
HyperLogLog,10,5,688,115026991,1248,5877914,4094848081
HyperLogLog,10,6,824,107169154,836,5877920,4094080225
HyperLogLog,11,1,260,94973268,2237,2408,35277624613009
HyperLogLog,11,2,516,115578567,1928,11811,35166014848836
HyperLogLog,11,3,824,121943077,1757,188984,33096100032241
HyperLogLog,11,4,1028,135630099,1606,5712454,52647761401
HyperLogLog,11,5,1372,125692927,1853,5754437,35144251024
HyperLogLog,11,6,1644,135416593,1601,5754437,35144251024
HyperLogLog,12,1,516,110892613,3190,4815,35249037668100
HyperLogLog,12,2,1028,99576548,2461,23629,35025990812176
HyperLogLog,12,3,1644,93932061,2242,378069,30956271034896
HyperLogLog,12,4,2052,87866068,2275,5731223,44386905124
HyperLogLog,12,5,2736,97706969,2156,5742147,39903258564
HyperLogLog,12,6,3284,94894122,2249,5742147,39903258564
HyperLogLog,13,1,1028,101086754,6065,9636,35191815488361
HyperLogLog,13,2,2052,110533861,5331,47264,34746792518881
HyperLogLog,13,3,3284,111147336,4856,756238,26891142234889
HyperLogLog,13,4,4100,103533116,4511,5772746,28614767281
HyperLogLog,13,5,5468,113176649,5296,5775161,27803561536
HyperLogLog,13,6,6560,171477734,5525,5775161,27803561536
HyperLogLog,14,1,2052,93311425,8622,19269,35077617188496
HyperLogLog,14,2,4100,83841729,7447,94536,34191724222161
HyperLogLog,14,3,6560,88293335,7531,1505135,19684928032900
HyperLogLog,14,4,8196,89419607,7988,5871284,4987325641
HyperLogLog,14,5,10928,93522479,7710,5871898,4900980049
HyperLogLog,14,6,13112,91926599,7814,5871898,4900980049
HyperLogLog,15,1,4100,81242563,16597,38541,34849706516496
HyperLogLog,15,2,8196,85565131,14283,189078,33095018491929
HyperLogLog,15,3,13112,95630781,15517,2829255,9688590022500
HyperLogLog,15,4,16388,90097244,15800,5869210,5284563025
HyperLogLog,15,5,21852,96257299,15538,5869361,5262631936
HyperLogLog,15,6,26220,95239399,15638,5869361,5262631936
HyperLogLog,16,1,8196,84003977,35253,77087,34396090173124
HyperLogLog,16,2,16388,105651716,35828,378162,30955236170049
HyperLogLog,16,3,26220,118224461,53730,4386225,2420140262400
HyperLogLog,16,4,32772,107286679,32916,5903843,1448715844
HyperLogLog,16,5,43696,98618027,29853,5903886,1445444361
HyperLogLog,16,6,52436,102992066,30228,5903886,1445444361
HashSet,0,0,75497520,819305590,64,5941905,0
HyperLogLog,4,1,8,14164210,807,18,1252122954289
HyperLogLog,4,2,8,13312798,241,86,1251970777225
HyperLogLog,4,3,12,13695364,452,1378,1249081170129
HyperLogLog,4,4,12,11310363,168,352845,586995016336
HyperLogLog,4,5,16,12815316,221,1188533,4834699024
HyperLogLog,4,6,20,13497198,271,1188533,4834699024
HyperLogLog,5,1,8,10635694,374,36,1252082671225
HyperLogLog,5,2,12,11275832,234,178,1251764905329
HyperLogLog,5,3,20,12396313,264,2854,1245784125609
HyperLogLog,5,4,20,11166842,178,632093,237079400464
HyperLogLog,5,5,28,12000581,232,1173037,2919889296
HyperLogLog,5,6,32,11703354,219,1173037,2919889296
HyperLogLog,6,1,12,11064049,544,74,1251997631329
HyperLogLog,6,2,20,11163308,313,363,1251350975044
HyperLogLog,6,3,32,12039710,258,5808,1239198655249
HyperLogLog,6,4,36,11370508,395,897739,48956872644
HyperLogLog,6,5,48,12171110,261,1095174,567725929
HyperLogLog,6,6,56,11810680,251,1095174,567725929
HyperLogLog,7,1,20,10673555,533,149,1251829797904
HyperLogLog,7,2,36,11516134,341,732,1250525556361
HyperLogLog,7,3,56,11848721,295,11718,1226075642089
HyperLogLog,7,4,68,11224195,362,1000020,14156478361
HyperLogLog,7,5,92,12395131,243,1051086,4612447225
HyperLogLog,7,6,108,11779461,284,1051086,4612447225
HyperLogLog,8,1,36,10690194,609,300,1251491927401
HyperLogLog,8,2,68,11141355,301,1471,1248873300900
HyperLogLog,8,3,108,12244828,445,23536,1200043566225
HyperLogLog,8,4,132,10836873,295,1168544,2454508849
HyperLogLog,8,5,176,11485854,285,1186065,4497580096
HyperLogLog,8,6,212,11719614,635,1186065,4497580096
HyperLogLog,9,1,68,10474017,621,601,1250818560000
HyperLogLog,9,2,132,11011013,460,2948,1245574298809
HyperLogLog,9,3,212,11644350,473,47171,1148819548900
HyperLogLog,9,4,260,11127540,466,1121104,4422609
HyperLogLog,9,5,348,12123216,473,1126084,50168889
HyperLogLog,9,6,416,11899584,510,1126084,50168889
HyperLogLog,10,1,132,10709889,972,1204,1249470133209
HyperLogLog,10,2,260,11147835,668,5902,1238989383801
HyperLogLog,10,3,416,12013021,703,94442,1049721144481
HyperLogLog,10,4,516,11388116,700,1087051,1020802500
HyperLogLog,10,5,688,11969680,631,1088125,953327376
HyperLogLog,10,6,824,12032376,694,1088125,953327376
HyperLogLog,11,1,260,10546074,1406,2408,1246779927649
HyperLogLog,11,2,516,11418284,1085,11811,1225869696100
HyperLogLog,11,3,824,12289263,1169,188892,865102751881
HyperLogLog,11,4,1028,11284652,1133,1091157,775288336
HyperLogLog,11,5,1372,12248742,1195,1091434,759939489
HyperLogLog,11,6,1644,11825771,1086,1091434,759939489
HyperLogLog,12,1,516,10970786,2490,4815,1241410442596
HyperLogLog,12,2,1028,11116657,2024,23629,1199839818384
HyperLogLog,12,3,1644,12838546,2389,372342,557499662281
HyperLogLog,12,4,2052,15247407,3223,1093211,665124100
HyperLogLog,12,5,2736,16283742,2589,1093292,660952681
HyperLogLog,12,6,3284,14896600,2541,1093292,660952681
HyperLogLog,13,1,1028,12531160,5750,9636,1230690703225
HyperLogLog,13,2,2052,11985125,3766,47264,1148620197169
HyperLogLog,13,3,3284,12254129,4003,657235,213227838756
HyperLogLog,13,4,4100,11717881,3706,1110822,66896041
HyperLogLog,13,5,5468,12204987,4027,1110845,66520336
HyperLogLog,13,6,6560,12329237,3862,1110845,66520336
HyperLogLog,14,1,2052,10734747,8970,19269,1209410471824
HyperLogLog,14,2,4100,11547670,7533,94536,1049528536225
HyperLogLog,14,3,6560,12523403,7801,911138,43207026769
HyperLogLog,14,4,8196,12360885,8022,1098823,407151684
HyperLogLog,14,5,10928,12652849,7702,1098828,406949929
HyperLogLog,14,6,13112,12633571,7744,1098828,406949929
HyperLogLog,15,1,4100,10876182,17359,38541,1167393811600
HyperLogLog,15,2,8196,11828205,14864,189055,864799562916
HyperLogLog,15,3,13112,12890711,15648,1048555,4962638916
HyperLogLog,15,4,16388,12208035,15735,1109429,91623184
HyperLogLog,15,5,21852,12911247,15092,1109430,91604041
HyperLogLog,15,6,26220,13255721,15244,1109430,91604041
HyperLogLog,16,1,8196,11137110,34320,77087,1085584783396
HyperLogLog,16,2,16388,12174562,29640,372927,556626413476
HyperLogLog,16,3,26220,13630492,30510,1098451,422302500
HyperLogLog,16,4,32772,13706913,31227,1115241,14137600
HyperLogLog,16,5,43696,14845027,29816,1115241,14137600
HyperLogLog,16,6,52436,14756126,30717,1115241,14137600
HashSet,0,0,18874416,77379078,55,1119001,0
HyperLogLog,4,1,8,68476910,629,18,17293163835025
HyperLogLog,4,2,8,72426226,282,86,17292598282969
HyperLogLog,4,3,12,75136283,406,1378,17281854551025
HyperLogLog,4,4,12,64295177,303,352845,14483185039684
HyperLogLog,4,5,16,60859124,315,3114776,1089407800009
HyperLogLog,4,6,20,53440589,274,3114776,1089407800009
HyperLogLog,5,1,8,47590027,401,36,17293014129169
HyperLogLog,5,2,12,49535724,329,178,17291833139025
HyperLogLog,5,3,20,54166315,299,2854,17269584837561
HyperLogLog,5,4,20,48794678,270,730857,11748894207556
HyperLogLog,5,5,28,53655718,265,3538525,384397520004
HyperLogLog,5,6,32,54634753,261,3538525,384397520004
HyperLogLog,6,1,12,54146332,750,74,17292698085601
HyperLogLog,6,2,20,53411963,377,363,17290294585600
HyperLogLog,6,3,32,67867841,493,5808,17245041871225
HyperLogLog,6,4,36,68217401,453,1464005,7260427252324
HyperLogLog,6,5,48,64877362,349,3904015,64774322064
HyperLogLog,6,6,56,56402485,383,3904015,64774322064
HyperLogLog,7,1,20,65717473,681,149,17292074323876
HyperLogLog,7,2,36,68420007,400,732,17287225999681
HyperLogLog,7,3,56,61325815,304,11718,17195991708025
HyperLogLog,7,4,68,52823225,364,2560053,2555106340900
HyperLogLog,7,5,92,57646875,728,4143039,239754256
HyperLogLog,7,6,108,66127935,395,4143039,239754256
HyperLogLog,8,1,36,50763193,581,300,17290818517729
HyperLogLog,8,2,68,51560179,451,1471,17281081330704
HyperLogLog,8,3,108,60268238,476,23536,17098117490169
HyperLogLog,8,4,132,51512539,790,3595521,316971252004
HyperLogLog,8,5,176,60643331,467,4305780,21684624049
HyperLogLog,8,6,212,72684693,525,4305780,21684624049
HyperLogLog,9,1,68,59285854,983,601,17288315358084
HyperLogLog,9,2,132,52653138,571,2948,17268803580625
HyperLogLog,9,3,212,54533933,564,47171,16903215267904
HyperLogLog,9,4,260,60896523,475,4089213,4803876100
HyperLogLog,9,5,348,71677032,663,4321244,26478123841
HyperLogLog,9,6,416,73084532,667,4321267,26485609536
HyperLogLog,10,1,132,53519087,1118,1204,17283301267761
HyperLogLog,10,2,260,61798808,974,5902,17244261169641
HyperLogLog,10,3,416,61352715,789,94442,16516754374561
HyperLogLog,10,4,516,58359423,22849,4092164,4403516881
HyperLogLog,10,5,688,61670210,725,4152739,33454656
HyperLogLog,10,6,824,57011476,864,4152739,33454656
HyperLogLog,11,1,260,50095669,1620,2408,17273291893225
HyperLogLog,11,2,516,53726155,1301,11811,17195220410944
HyperLogLog,11,3,824,56898334,1253,188984,15757239872521
HyperLogLog,11,4,1028,53287035,1328,4017781,19808310564
HyperLogLog,11,5,1372,57506579,1288,4031685,16087878244
HyperLogLog,11,6,1644,56963276,1294,4031685,16087878244
HyperLogLog,12,1,516,50301669,2648,4815,17253290149264
HyperLogLog,12,2,1028,52368962,2196,23629,17097348391236
HyperLogLog,12,3,1644,56770094,2178,378069,14291832446116
HyperLogLog,12,4,2052,53008596,2275,4012007,21466938256
HyperLogLog,12,5,2736,56903651,2203,4015406,20482475689
HyperLogLog,12,6,3284,57172164,2200,4015406,20482475689
HyperLogLog,13,1,1028,49355318,4693,9636,17213263338769
HyperLogLog,13,2,2052,52361675,3977,47264,16902450565081
HyperLogLog,13,3,3284,55168324,4277,755684,11579313259921
HyperLogLog,13,4,4100,53656948,3863,4088397,4917655876
HyperLogLog,13,5,5468,57356550,4438,4089203,4805262400
HyperLogLog,13,6,6560,60971409,4868,4089203,4805262400
HyperLogLog,14,1,2052,52078626,9144,19269,17133423676516
HyperLogLog,14,2,4100,52430275,7817,94536,16515990336169
HyperLogLog,14,3,6560,55634132,8092,1480320,7172771309209
HyperLogLog,14,4,8196,52885052,7983,4066232,8517628681
HyperLogLog,14,5,10928,56125012,7733,4066435,8480199744
HyperLogLog,14,6,13112,55928264,8075,4066435,8480199744
HyperLogLog,15,1,4100,49954681,83118,38541,16974251680324
HyperLogLog,15,2,8196,53292087,15008,189078,15756493608025
HyperLogLog,15,3,13112,58451312,15500,2561007,2552057370256
HyperLogLog,15,4,16388,68509990,19521,4121578,1364933025
HyperLogLog,15,5,21852,68897509,15488,4121635,1360724544
HyperLogLog,15,6,26220,61031208,15572,4121635,1360724544
HyperLogLog,16,1,8196,50651309,35226,77087,16658119822096
HyperLogLog,16,2,16388,62595558,30841,378162,14291129290321
HyperLogLog,16,3,26220,62469771,35796,3500678,432760044025
HyperLogLog,16,4,32772,56574064,32272,4147829,114361636
HyperLogLog,16,5,43696,59994596,30676,4147842,114083761
HyperLogLog,16,6,52436,60306785,36390,4147842,114083761
HashSet,0,0,75497520,460172570,71,4158523,0
HyperLogLog,4,1,8,84761761,776,18,26347175702500
HyperLogLog,4,2,8,70328013,258,86,26346477625924
HyperLogLog,4,3,12,73148361,372,1378,26333215928100
HyperLogLog,4,4,12,74236510,325,352845,22849575895129
HyperLogLog,4,5,16,78904307,334,3474174,2751597534436
HyperLogLog,4,6,20,73902960,341,3474174,2751597534436
HyperLogLog,5,1,8,66617176,513,36,26346990916624
HyperLogLog,5,2,12,72473859,337,178,26345533184100
HyperLogLog,5,3,20,79551673,354,2854,26318069652996
HyperLogLog,5,4,20,70165480,347,730857,19378581256321
HyperLogLog,5,5,28,92871520,399,4228237,818538182361
HyperLogLog,5,6,32,87584049,314,4228237,818538182361
HyperLogLog,6,1,12,68964127,518,74,26346600815236
HyperLogLog,6,2,20,71030132,368,363,26343634086025
HyperLogLog,6,3,32,76970231,437,5808,26287769665600
HyperLogLog,6,4,36,69904751,403,1441823,13624551411025
HyperLogLog,6,5,48,77515182,576,4887852,60081853456
HyperLogLog,6,6,56,74986943,389,4887852,60081853456
HyperLogLog,7,1,20,66676740,572,149,26345830886761
HyperLogLog,7,2,36,71356637,601,732,26339846359696
HyperLogLog,7,3,56,75114643,304,11718,26227201562500
HyperLogLog,7,4,68,72557166,398,2666721,6082374265009
HyperLogLog,7,5,92,88964263,370,4848393,80982930625
HyperLogLog,7,6,108,75522958,367,4848393,80982930625
HyperLogLog,8,1,36,66111292,579,300,26344280798224
HyperLogLog,8,2,68,68926413,452,1471,26332261461009
HyperLogLog,8,3,108,76915621,480,23536,26106295362624
HyperLogLog,8,4,132,68491611,453,4006438,1269069840900
HyperLogLog,8,5,176,72272626,410,5017975,13223390049
HyperLogLog,8,6,212,73576931,495,5017975,13223390049
HyperLogLog,9,1,68,64434586,705,601,26341191022689
HyperLogLog,9,2,132,151104578,930,2948,26317105200400
HyperLogLog,9,3,212,126862280,781,47171,25865331125209
HyperLogLog,9,4,260,97006015,658,4701817,185891184801
HyperLogLog,9,5,348,97831944,1116,5067034,4347292356
HyperLogLog,9,6,416,84349293,593,5067034,4347292356
HyperLogLog,10,1,132,66084743,1310,1204,26335001751696
HyperLogLog,10,2,260,68164783,718,5902,26286805768356
HyperLogLog,10,3,416,70972174,773,94442,25386744252676
HyperLogLog,10,4,516,66697136,728,4843034,84061724356
HyperLogLog,10,5,688,70960612,657,4943022,36079482916
HyperLogLog,10,6,824,70617726,820,4943022,36079482916
HyperLogLog,11,1,260,76434971,1868,2408,26322645913600
HyperLogLog,11,2,516,75878519,1230,11811,26226249018649
HyperLogLog,11,3,824,74113601,1557,188984,24442977792256
HyperLogLog,11,4,1028,69860672,1314,4976770,24397815204
HyperLogLog,11,5,1372,103800683,1759,5002872,16924969216
HyperLogLog,11,6,1644,109129902,1712,5002870,16925489604
HyperLogLog,12,1,516,93696004,3288,4815,26297953191409
HyperLogLog,12,2,1028,87622864,2606,23629,26105345016921
HyperLogLog,12,3,1644,82369983,2164,378069,22609064500201
HyperLogLog,12,4,2052,67217273,2102,5040617,8528707201
HyperLogLog,12,5,2736,72998943,2056,5048353,7159698225
HyperLogLog,12,6,3284,71520425,2132,5048353,7159698225
HyperLogLog,13,1,1028,68250161,4824,9636,26248530782224
HyperLogLog,13,2,2052,68016553,3959,47264,25864385175616
HyperLogLog,13,3,3284,73674743,4078,756238,19155765492900
HyperLogLog,13,4,4100,68625703,3869,5121623,128709025
HyperLogLog,13,5,5468,73233145,24657,5123438,90820900
HyperLogLog,13,6,6560,94877709,5533,5123438,90820900
HyperLogLog,14,1,2052,84526439,11054,19269,26149917462601
HyperLogLog,14,2,4100,83352183,9199,94536,25385797018624
HyperLogLog,14,3,6560,105956345,11154,1500487,13194918215361
HyperLogLog,14,4,8196,109079091,10881,5123223,94965025
HyperLogLog,14,5,10928,128056696,15574,5123656,86713344
HyperLogLog,14,6,13112,176529578,9866,5123656,86713344
HyperLogLog,15,1,4100,81890249,21585,38541,25953186458329
HyperLogLog,15,2,8196,80644297,15337,189078,24442048332100
HyperLogLog,15,3,13112,105292106,21149,2745719,5698957788001
HyperLogLog,15,4,16388,89325947,18435,5111116,477509904
HyperLogLog,15,5,21852,77694635,15544,5111231,472497169
HyperLogLog,15,6,26220,90309575,17852,5111231,472497169
HyperLogLog,16,1,8196,98221822,45595,77087,25561932686161
HyperLogLog,16,2,16388,112318118,67007,378162,22608180097636
