struct_name,precision,bits,memory_requirements,population_time,cardinality_time,cardinality,cardinality_squared_error
HyperLogLog,4,1,8,80527466,7675,18,26897852906596
HyperLogLog,4,2,8,68910916,5088,86,26897147572516
HyperLogLog,4,3,12,73582145,5800,1378,26883747982116
HyperLogLog,4,4,12,67935050,342,352845,23362596579169
HyperLogLog,4,5,16,73404591,5438,6394940,1460733297664
HyperLogLog,4,6,20,71560963,5102,6338844,1328283910144
HyperLogLog,5,1,8,68722822,5184,36,26897666199616
HyperLogLog,5,2,12,69918910,4021,178,26896193311716
HyperLogLog,5,3,20,90895676,8210,2854,26868444176484
HyperLogLog,5,4,20,75485169,287,730857,19851257475625
HyperLogLog,5,5,28,75987049,4857,6652427,2149434549025
HyperLogLog,5,6,32,74998450,7911,6652427,2149434549025
HyperLogLog,6,1,12,67008358,550,74,26897272042564
HyperLogLog,6,2,20,77291192,5731,363,26894274468961
HyperLogLog,6,3,32,77904877,5446,5808,26837828914576
HyperLogLog,6,4,36,69706694,311,1486880,13685945100304
HyperLogLog,6,5,48,87356282,418,6170480,968547285904
HyperLogLog,6,6,56,81853279,390,6172043,971626175521
HyperLogLog,7,1,20,65505237,6122,149,26896494109489
HyperLogLog,7,2,36,69050275,357,732,26890447360000
HyperLogLog,7,3,56,73628573,293,11718,26776630048996
HyperLogLog,7,4,68,71836909,343,2823587,5582563935025
HyperLogLog,7,5,92,76859833,5866,5864115,459389795089
HyperLogLog,7,6,108,72434618,727,5864815,460339181289
HyperLogLog,8,1,36,64322575,590,300,26894927905024
HyperLogLog,8,2,68,66357166,372,1471,26882783589321
HyperLogLog,8,3,108,72937765,464,23536,26654462537616
HyperLogLog,8,4,132,66674250,388,4483949,493341878689
HyperLogLog,8,5,176,76736350,399,5984942,637777932100
HyperLogLog,8,6,212,74703130,408,5984761,637488868041
HyperLogLog,9,1,68,63836721,820,601,26891806004361
HyperLogLog,9,2,132,66431670,520,2948,26867469691456
HyperLogLog,9,3,212,69796961,526,47171,26410975783921
HyperLogLog,9,4,260,67367608,520,5010445,30936236769
HyperLogLog,9,5,348,72200329,472,5501939,99607778449
HyperLogLog,9,6,416,75550639,578,5501939,99607778449
HyperLogLog,10,1,132,65227708,6483,1204,26885552376384
HyperLogLog,10,2,260,68526073,705,5902,26836854984900
HyperLogLog,10,3,416,71467418,700,94442,25927343772100
HyperLogLog,10,4,516,71547858,5925,5088919,9489292569
HyperLogLog,10,5,688,91627647,863,5209348,529736256
HyperLogLog,10,6,824,85412388,972,5209344,529552144
HyperLogLog,11,1,260,99658090,2016,2408,26873068037776
HyperLogLog,11,2,516,93357551,1488,11811,26775667579441
HyperLogLog,11,3,824,80350557,1248,188984,24973487033104
HyperLogLog,11,4,1028,71272941,1304,5082197,10844098225
HyperLogLog,11,5,1372,76491346,1312,5110622,5732004100
HyperLogLog,11,6,1644,79217095,1463,5110620,5732306944
HyperLogLog,12,1,516,107515025,5161,4815,26848118421289
HyperLogLog,12,2,1028,114035093,2596,23629,26653502266209
HyperLogLog,12,3,1644,79030131,2225,378069,23119393077169
HyperLogLog,12,4,2052,72492255,2300,5122554,4067633284
HyperLogLog,12,5,2736,77576301,2223,5130534,3113416804
HyperLogLog,12,6,3284,80523642,2287,5130534,3113416804
HyperLogLog,13,1,1028,68143682,4828,9636,26798181476416
HyperLogLog,13,2,2052,70559536,3958,47264,26410019908624
HyperLogLog,13,3,3284,74361371,4141,756238,19625732848836
HyperLogLog,13,4,4100,71860439,3856,5152456,1147583376
HyperLogLog,13,5,5468,75632284,4075,5154207,1032015625
HyperLogLog,13,6,6560,77381027,4172,5154207,1032015625
HyperLogLog,14,1,2052,68244098,9172,19269,26698540045969
HyperLogLog,14,2,4100,72106984,7831,94536,25926386505616
HyperLogLog,14,3,6560,76040356,8347,1500033,13588800317401
HyperLogLog,14,4,8196,71730378,7807,5188930,6749604
HyperLogLog,14,5,10928,73987653,7480,5189390,9351364
HyperLogLog,14,6,13112,87268535,9866,5189390,9351364
HyperLogLog,15,1,4100,94511664,31680,38541,26499752179681
HyperLogLog,15,2,8196,97123205,20392,189078,24972547540516
HyperLogLog,15,3,13112,100226397,18641,2747774,5946565119364
HyperLogLog,15,4,16388,87525908,18514,5146405,1594165329
HyperLogLog,15,5,21852,85774692,15474,5146517,1585234225
HyperLogLog,15,6,26220,76597151,15516,5146517,1585234225
HyperLogLog,16,1,8196,67341110,34387,77087,26104384470025
HyperLogLog,16,2,16388,71107705,29723,378162,23118498748900
HyperLogLog,16,3,26220,79254515,30652,4052865,1284747440089
HyperLogLog,16,4,32772,80965352,31295,5163759,509540329
HyperLogLog,16,5,43696,77342583,29827,5163788,508231936
HyperLogLog,16,6,52436,75005349,28758,5163788,508231936
HashSet,0,0,75497520,549397649,70,5186332,0
HyperLogLog,4,1,8,17431663,443,18,2065670315536
HyperLogLog,4,2,8,17471228,276,86,2065474854976
HyperLogLog,4,3,12,18420629,314,1378,2061762861456
